,Unnamed: 0,flare_id,tstart,tpeak,tend,peak_flux,BG_flux,flux_int,ratio,flux_int_corrected,delta_flux,fclass_simple,fclass_full,abs_class_simple,abs_class_full,flare_x,flare_y,Lon [Helioprojective],Lat [Helioprojective],Lon [Heliographic],Lat [Heliographic]
17,101090,2012--2581,2012-03-13 17:04:00,2012-03-13 17:41:00,2012-03-13 21:27:00,0.0001143234,3.3605000000000003e-06,0.0091311897,33.9685945328,0.008250748,0.0001109578,X,X1.1,X,X1.1,3457.9234393653437,2617.126484002552,834.515725179755,345.9931841191999,65.18856744323783,18.077512002487566
18,107182,2012--6920,2012-07-06 23:00:00,2012-07-06 23:08:00.000000,2012-07-06 23:26:00.000000,0.0001614656,5.833000000000001e-06,0.0015307564,27.6055928762,0.0013849316,0.0001556166,X,X1.5,X,X1.6,,,,,,
19,107625,2012--7184,2012-07-12 15:54:00,2012-07-12 16:52:00,2012-07-12 20:00:00,0.0002039659,3.6777e-06,0.0166954706,55.3026426494,0.0157944319,0.0002002777,X,X2.0,X,X2.0,2048.1695765070144,1539.6949068326385,-6.659626929787919,-302.7223364571183,-0.4058511736103583,-14.501058812189665
20,108010,2012--7449,2012-07-19 04:14:00,2012-07-19 05:53:00,2012-07-19 05:56:00,0.0001108701,9.277e-07,0.0031871358,119.4542322197,0.0030934425,0.000109942,X,X1.0,X,X1.1,3594.4078306880538,1669.5646383145508,919.3341551877932,-223.30995823690407,,
21,112391,2012--10648,2012-10-20 18:03:00,2012-10-20 18:14:00,2012-10-20 19:57:00,0.0001302344,1.6752e-06,0.0015858611,77.4085722354,0.0013965678,0.000128552,X,X1.2,X,X1.3,472.14583556105487,1701.196664528054,-946.8011647369713,-207.77651367699772,,
22,112514,2012--10735,2012-10-23 03:13:00,2012-10-23 03:17:00,2012-10-23 05:16:00,0.0002371352,1.7998e-06,0.0025709217,129.5924464354,0.0023513468,0.0002353054,X,X2.3,X,X2.3,718.9164836784772,1529.0055648883797,-798.8861384876072,-310.81115132182356,-59.39497173905744,-16.165759571622537
23,122381,2013--4563,2013-05-13 01:50:00,2013-05-13 02:17:00,2013-05-13 04:27:00,0.0002508191,2.1605e-06,0.009095056,115.8425391049,0.008758025,0.0002486539,X,X2.4,X,X2.5,469.9302631436785,2356.2851471300337,-947.2482561620418,184.24481976582712,,
24,122422,2013--4585,2013-05-13 15:39:00,2013-05-13 16:05:00,2013-05-13 17:36:00,0.0004106065,3.052e-06,0.0095337029,133.2520138958,0.009179667,0.0004075251,X,X4.0,X,X4.1,488.8558006828546,2326.497846680037,-935.8958492367528,166.39704209053292,,
25,122450,2013--4600,2013-05-14 00:56:00,2013-05-14 01:11:00,2013-05-14 03:56:00,0.0004639254,5.4642e-06,0.0106316079,84.683484694,0.0096535251,0.0004584471,X,X4.5,X,X4.6,560.1455188598725,2418.390916148492,-893.178718109848,221.49543400107345,-74.45313761535311,12.743197094664422
26,122527,2013--4654,2013-05-15 01:08:00,2013-05-15 01:48:00,2013-05-15 04:42:00,0.0001853945,1.9267e-06,0.0059589681,95.910428999,0.0055485806,0.0001834615,X,X1.8,X,X1.8,615.7783142792451,2337.4889673774364,-859.8124231805559,173.00379496424597,-66.43695137524816,9.42484719195654
27,129522,2013--9896,2013-10-24 00:19:00,2013-10-24 00:30:00,2013-10-24 00:41:00,0.0001341137,2.26408e-05,0.0014276552,5.8123089727,0.0009521993,0.0001110396,X,X1.1,X,X1.3,1772.4725729803122,1694.79202081919,-167.86858276603743,-210.94917491411206,-10.073468170836463,-7.5030961853583396
28,129636,2013--9971,2013-10-25 07:53:00,2013-10-25 08:01:00,2013-10-25 08:52:00,0.0002493622,1.9495e-06,0.0038300046,125.2937387355,0.0037169353,0.000247372,X,X2.4,X,X2.4,528.3417966203015,1850.7311947579244,-913.7366364435293,-117.71480499703956,-71.79398714950338,-5.453120145699062
29,129659,2013--9984,2013-10-25 14:51:00,2013-10-25 15:03:00,2013-10-25 16:33:00,0.000305493,6.0509e-06,0.0061285218,50.0221715476,0.0055173783,0.0002993858,X,X2.9,X,X3.0,545.6471989007388,1701.4703224667826,-903.3321590137202,-207.19171956472863,-72.09600530601517,-10.884358097116804
30,129869,2013--10106,2013-10-28 01:37:00,2013-10-28 02:03:00,2013-10-28 02:49:00,0.0001467967,3.9011e-06,0.0029056969,37.6067064503,0.0026287209,0.0001428932,X,X1.4,X,X1.4,3569.0447900964514,2167.6468035611065,908.9055590157681,73.02819101077243,70.84972674166991,5.911584932357468
31,130016,2013--10195,2013-10-29 21:35:00,2013-10-29 21:54:00,2013-10-29 23:11:00,0.0003366149,1.3462e-06,0.0047384475,249.2222200299,0.0046105539,0.0003352642,X,X3.3,X,X3.3,3666.832550619818,2232.5433945820914,967.5139370316876,111.95189985680283,,
